adduct	charge	formula_add	formula_sub	mass_add	mass_multi
[M-3H]3-	-3	NA	H3	-1.00727645209073	0.333333333333333
[M-2H]2-	-2	NA	H2	-1.00727645209073	0.5
[M-H]-	-1	NA	H	-1.00727645209073	1
[M+Na-2H]-	-1	Na	H2	20.9746677959093	1
[M+Cl]-	-1	Cl	NA	34.9694012599093	1
[M+K-2H]-	-1	K	H2	36.9486051959093	1
[M+C2H3N-H]-	-1	C2H3N	H	40.0192726439093	1
[M+CHO2]-	-1	CHO2	NA	44.9982028519093	1
[M+C2H3O2]-	-1	C2H3O2	NA	59.0138529159093	1
[M+Br]-	-1	Br	NA	78.9188856799093	1
[M+C2F3O2]-	-1	C2F3O2	NA	112.985587479909	1
[2M-H]-	-1	NA	H	-1.00727645209073	2
[2M+CHO2]-	-1	CHO2	NA	44.9982028519093	2
[2M+C2H3O2]-	-1	C2H3O2	NA	59.0138529159093	2
[3M-H]-	-1	NA	H	-1.00727645209073	3
