adduct	charge	formula_add	formula_sub	mass_add	mass_multi
[M+3H]3+	3	H3	NA	1.00727645209073	0.333333333333333
[M+2H+Na]3+	3	H2Na	NA	8.33459120142406	0.333333333333333
[M+H+Na2]3+	3	HNa2	NA	15.6619059507574	0.333333333333333
[M+Na3]3+	3	Na3	NA	22.9892207000907	0.333333333333333
[M+2H]2+	2	H2	NA	1.00727645209073	0.5
[M+H+NH4]2+	2	NH5	NA	9.52055100009073	0.5
[M+H+K]2+	2	HK	NA	19.9852172760907	0.5
[M+H+Na]2+	2	HNa	NA	11.9982485760907	0.5
[M+C2H3N+2H]2+	2	C2H5N	NA	21.5205510000907	0.5
[M+2Na]2+	2	Na2	NA	22.9892207000907	0.5
[M+C4H6N2+2H]2+	2	C4H8N2	NA	42.0338255480907	0.5
[M+C6H9N3+2H]2+	2	C6H11N3	NA	62.5471000960907	0.5
[M+H]+	1	H	NA	1.00727645209073	1
[M+Li]+	1	Li	NA	7.01545597009073	1
[M+2Li-H]+	1	Li2	H	13.0236354880907	1
[M+NH4]+	1	NH4	NA	18.0338255480907	1
[M+H2O+H]+	1	H3O	NA	19.0178364520907	1
[M+Na]+	1	Na	NA	22.9892207000907	1
[M+CH4O+H]+	1	CH5O	NA	33.0334912000907	1
[M+K]+	1	K	NA	38.9631581000907	1
[M+C2H3N+H]+	1	C2H4N	NA	42.0338255480907	1
[M+2Na-H]+	1	Na2	H	44.9711649480907	1
[M+C3H8O+H]+	1	C3H9O	NA	61.0647913280907	1
[M+C2H3N+Na]+	1	C2H3NNa	NA	64.0157697960907	1
[M+2K-H]+	1	K2	H	76.9190397480907	1
[M+C2H6OS+H]+	1	C2H7OS	NA	79.0212122640907	1
[M+C4H6N2+H]+	1	C4H7N2	NA	83.0603746440907	1
[2M+H]+	1	H	NA	1.00727645209073	2
[2M+NH4]+	1	NH4	NA	18.0338255480907	2
[2M+Na]+	1	Na	NA	22.9892207000907	2
[2M+K]+	1	K	NA	38.9631581000907	2
[2M+C2H3N+H]+	1	C2H4N	NA	42.0338255480907	2
[2M+C2H3N+Na]+	1	C2H3NNa	NA	64.0157697960907	2
[3M+H]+	1	H	NA	1.00727645209073	3
